executable,avg_time,median_time
basicmath_O0_exec,0.010731,0.010702
basicmath_O1_exec,0.009768,0.009780
basicmath_O2_exec,0.009657,0.009635
basicmath_O3_exec,0.009613,0.009601
basicmath_O0_exec_static,0.010633,0.010600
basicmath_O1_exec_static,0.009812,0.009811
basicmath_O2_exec_static,0.009898,0.009867
basicmath_O3_exec_static,0.009887,0.009872
basicmath_licm_exec,0.010751,0.010718
basicmath_instcombine_exec,0.010284,0.010258
basicmath_cse_exec,0.010536,0.010507
basicmath_gvn_exec,0.010901,0.010793
basicmath_ipsccp_exec,0.010542,0.010513
basicmath_inline_exec,0.010757,0.010736
basicmath_loopreduce_exec,0.010728,0.010706
basicmath_unroll_exec,0.010731,0.010730
basicmath_unroll4_exec,0.010738,0.010712
basicmath_unswitch_exec,0.010778,0.010744
basicmath_sccp_exec,0.010693,0.010655
basicmath_licm_exec_static,0.010713,0.010664
basicmath_instcombine_exec_static,0.010307,0.010281
basicmath_cse_exec_static,0.010674,0.010659
basicmath_gvn_exec_static,0.010548,0.010529
basicmath_ipsccp_exec_static,0.010688,0.010655
basicmath_inline_exec_static,0.010507,0.010490
basicmath_loopreduce_exec_static,0.010533,0.010517
basicmath_unroll_exec_static,0.010583,0.010561
basicmath_unroll4_exec_static,0.010718,0.010679
basicmath_unswitch_exec_static,0.010742,0.010656
basicmath_sccp_exec_static,0.010964,0.010828
